Var1	Freq	id	strand
0111	2	chr10_294499_294532	*
1101	1	chr10_294499_294532	*
1110	2	chr10_294499_294532	*
1111	54	chr10_294499_294532	*
0011	1	chr10_387473_387511	*
0111	3	chr10_387473_387511	*
1101	3	chr10_387473_387511	*
1110	2	chr10_387473_387511	*
1111	52	chr10_387473_387511	*
1011	1	chr10_393759_393798	*
1101	1	chr10_393759_393798	*
1111	55	chr10_393759_393798	*
0111	1	chr10_393799_393818	*
1111	55	chr10_393799_393818	*
0111	2	chr10_393883_393891	*
1110	2	chr10_393883_393891	*
1111	128	chr10_393883_393891	*
0111	9	chr10_393909_393934	*
1011	1	chr10_393909_393934	*
1101	1	chr10_393909_393934	*
1110	1	chr10_393909_393934	*
1111	121	chr10_393909_393934	*
0111	4	chr10_422330_422352	*
1001	1	chr10_422330_422352	*
1011	2	chr10_422330_422352	*
1101	1	chr10_422330_422352	*
1110	1	chr10_422330_422352	*
1111	60	chr10_422330_422352	*
0111	2	chr10_466245_466270	*
1011	1	chr10_466245_466270	*
1101	1	chr10_466245_466270	*
1110	3	chr10_466245_466270	*
1111	68	chr10_466245_466270	*
0011	2	chr10_468037_468058	*
0111	2	chr10_468037_468058	*
1011	1	chr10_468037_468058	*
1101	3	chr10_468037_468058	*
1110	1	chr10_468037_468058	*
1111	43	chr10_468037_468058	*
1011	6	chr10_537384_537420	*
1101	1	chr10_537384_537420	*
1111	43	chr10_537384_537420	*
0001	2	chr10_552912_552973	*
0100	1	chr10_552912_552973	*
0111	3	chr10_552912_552973	*
1011	2	chr10_552912_552973	*
1100	1	chr10_552912_552973	*
1101	1	chr10_552912_552973	*
1110	2	chr10_552912_552973	*
1111	46	chr10_552912_552973	*
0011	2	chr10_555068_555136	*
0111	9	chr10_555068_555136	*
1010	1	chr10_555068_555136	*
1011	4	chr10_555068_555136	*
1101	1	chr10_555068_555136	*
1110	3	chr10_555068_555136	*
1111	31	chr10_555068_555136	*
0011	1	chr10_574529_574588	*
0111	3	chr10_574529_574588	*
1011	3	chr10_574529_574588	*
1100	1	chr10_574529_574588	*
1111	49	chr10_574529_574588	*
0011	3	chr10_575993_576023	*
0111	1	chr10_575993_576023	*
1011	2	chr10_575993_576023	*
1101	1	chr10_575993_576023	*
1111	57	chr10_575993_576023	*
0000	3	chr10_605203_605260	*
0001	1	chr10_605203_605260	*
0111	1	chr10_605203_605260	*
1001	2	chr10_605203_605260	*
1011	7	chr10_605203_605260	*
1101	1	chr10_605203_605260	*
1110	1	chr10_605203_605260	*
1111	39	chr10_605203_605260	*
0111	1	chr10_629565_629615	*
1011	1	chr10_629565_629615	*
1101	4	chr10_629565_629615	*
1110	1	chr10_629565_629615	*
1111	52	chr10_629565_629615	*
0000	17	chr10_681635_681696	*
0001	3	chr10_681635_681696	*
0010	5	chr10_681635_681696	*
0111	1	chr10_681635_681696	*
1000	16	chr10_681635_681696	*
1001	4	chr10_681635_681696	*
1010	5	chr10_681635_681696	*
1011	3	chr10_681635_681696	*
1100	6	chr10_681635_681696	*
1110	2	chr10_681635_681696	*
1111	2	chr10_681635_681696	*
0011	4	chr10_686537_686553	*
0111	1	chr10_686537_686553	*
1011	3	chr10_686537_686553	*
1110	2	chr10_686537_686553	*
1111	45	chr10_686537_686553	*
0101	1	chr10_686554_686573	*
0111	1	chr10_686554_686573	*
1101	1	chr10_686554_686573	*
1111	52	chr10_686554_686573	*
0111	1	chr10_686586_686605	*
1011	3	chr10_686586_686605	*
1101	4	chr10_686586_686605	*
1110	1	chr10_686586_686605	*
1111	55	chr10_686586_686605	*
0111	5	chr10_686606_686625	*
1110	3	chr10_686606_686625	*
1111	54	chr10_686606_686625	*
0000	49	chr10_734943_734967	*
0001	3	chr10_734943_734967	*
0010	5	chr10_734943_734967	*
0011	1	chr10_734943_734967	*
1000	2	chr10_734943_734967	*
1111	1	chr10_734943_734967	*
0000	45	chr10_734968_734993	*
0001	1	chr10_734968_734993	*
0010	3	chr10_734968_734993	*
0100	3	chr10_734968_734993	*
0110	3	chr10_734968_734993	*
1000	2	chr10_734968_734993	*
1001	1	chr10_734968_734993	*
1100	1	chr10_734968_734993	*
1110	1	chr10_734968_734993	*
1111	1	chr10_734968_734993	*
0000	51	chr10_734995_735014	*
0001	2	chr10_734995_735014	*
0011	2	chr10_734995_735014	*
0100	1	chr10_734995_735014	*
0111	1	chr10_734995_735014	*
1010	1	chr10_734995_735014	*
1011	1	chr10_734995_735014	*
1101	1	chr10_734995_735014	*
0000	116	chr10_735508_735526	*
0001	2	chr10_735508_735526	*
0100	6	chr10_735508_735526	*
0111	2	chr10_735508_735526	*
1000	2	chr10_735508_735526	*
1001	1	chr10_735508_735526	*
1010	1	chr10_735508_735526	*
1100	1	chr10_735508_735526	*
1101	1	chr10_735508_735526	*
1111	1	chr10_735508_735526	*
0000	92	chr10_735529_735540	*
0010	2	chr10_735529_735540	*
1110	1	chr10_735529_735540	*
0000	90	chr10_735543_735575	*
0010	3	chr10_735543_735575	*
0011	1	chr10_735543_735575	*
0100	3	chr10_735543_735575	*
0110	1	chr10_735543_735575	*
1000	1	chr10_735543_735575	*
1111	1	chr10_735543_735575	*
0000	43	chr10_735577_735592	*
0001	55	chr10_735577_735592	*
0010	1	chr10_735577_735592	*
0111	1	chr10_735577_735592	*
1111	1	chr10_735577_735592	*
0000	71	chr10_735637_735649	*
0001	2	chr10_735637_735649	*
1000	3	chr10_735637_735649	*
0000	56	chr10_735650_735685	*
0001	1	chr10_735650_735685	*
1000	1	chr10_735650_735685	*
1100	1	chr10_735650_735685	*
0000	49	chr10_735692_735707	*
1000	2	chr10_735692_735707	*
0000	48	chr10_735708_735719	*
0001	3	chr10_735708_735719	*
0010	1	chr10_735708_735719	*
0000	51	chr10_736083_736114	*
0010	6	chr10_736083_736114	*
0100	1	chr10_736083_736114	*
1000	3	chr10_736083_736114	*
1011	1	chr10_736083_736114	*
1100	1	chr10_736083_736114	*
0000	58	chr10_830508_830560	*
0001	1	chr10_830508_830560	*
0010	2	chr10_830508_830560	*
0100	2	chr10_830508_830560	*
1000	5	chr10_830508_830560	*
0000	49	chr10_830825_830862	*
0010	1	chr10_830825_830862	*
0000	63	chr10_830885_830910	*
0001	3	chr10_830885_830910	*
0100	1	chr10_830885_830910	*
0000	60	chr10_830919_830936	*
0100	1	chr10_830919_830936	*
1000	1	chr10_830919_830936	*
1010	1	chr10_830919_830936	*
0000	3	chr10_835645_835686	*
0011	3	chr10_835645_835686	*
0101	2	chr10_835645_835686	*
0111	3	chr10_835645_835686	*
1001	2	chr10_835645_835686	*
1011	3	chr10_835645_835686	*
1100	2	chr10_835645_835686	*
1101	6	chr10_835645_835686	*
1110	3	chr10_835645_835686	*
1111	30	chr10_835645_835686	*
1011	4	chr10_851304_851342	*
1101	6	chr10_851304_851342	*
